name,num_players,complex_level_1_to_5,avg_play_time,brief_descriptions,website,link
Mafia / Werewolf (classic),6+ (commonly 8–20),2,15–90 minutes,"Moderator-led hidden-role game: villagers vs mafia/werewolves, night/day cycles and many role variants; classic large-group social deduction.",,
Ultimate Werewolf,5–75 (edition-dependent),2,15–90 minutes,Expanded Werewolf system with many roles and scenarios for very large groups; requires a moderator for large-party play.,,
One Night Ultimate Werewolf,3–10,1,~10 minutes,App-assisted single-night Werewolf variant with no elimination; quick rounds and high replayability for parties.,https://daviscardsandgames.com/products/one-night-ultimate-werewolf,https://daviscardsandgames.com/products/one-night-ultimate-werewolf
Blood on the Clocktower,5–20,4,30–120 minutes,Storyteller-driven hidden-role game where eliminated players remain engaged; rich asymmetric roles and deep social interaction.,https://en.wikipedia.org/wiki/Blood_on_the_Clocktower,https://en.wikipedia.org/wiki/Blood_on_the_Clocktower
Two Rooms and a Boom,6–30,2,15–30 minutes,Large-group social deduction played across two rooms; rounds involve negotiation and player exchanges for party-scale drama.,https://www.moxboardinghouse.com/two-rooms-and-a-boom/,https://www.moxboardinghouse.com/two-rooms-and-a-boom/
The Resistance / Avalon,5–10,2,15–30 minutes,Mission-based hidden-role deduction: loyal members try missions while hidden spies sabotage; Avalon adds Arthurian asymmetric roles.,https://en.wikipedia.org/wiki/The_Resistance_(game),https://en.wikipedia.org/wiki/The_Resistance_(game)
Secret Hitler,5–10,3,30–60 minutes,Political hidden-role game (Liberals vs Fascists) with asymmetric powers; deduction centers on policy enactment and identity exposure.,https://en.wikipedia.org/wiki/Secret_Hitler,https://en.wikipedia.org/wiki/Secret_Hitler
Spyfall,3–8,1,15 minutes,Bluffing Q&A game where one spy deduces a shared location while others use questions to detect the imposter.,https://www.spyfall-game.com/rules,https://www.spyfall-game.com/rules
The Chameleon,3–8,1,15 minutes,Quick party game: one player lacks the secret word and must blend in while others identify the odd-one-out.,https://en.wikipedia.org/wiki/The_Chameleon_%28party_game%29,https://en.wikipedia.org/wiki/The_Chameleon_%28party_game%29
Deception: Murder in Hong Kong,4–12,2,15–30 minutes,Forensic-clue deduction: a silent forensic scientist gives nonverbal clues to help identify the murderer among players.,https://en.wikipedia.org/wiki/Deception_(board_game),https://en.wikipedia.org/wiki/Deception_(board_game)
Decrypto,3–8,3,15–45 minutes,Team-based code-clue deduction where teams transmit hints while preventing the opposing team from intercepting them.,https://en.wikipedia.org/wiki/Decrypto,https://en.wikipedia.org/wiki/Decrypto
Coup,2–6,2,15 minutes,Bluffing and elimination card game where players claim roles and challenge actions to eliminate opponents.,https://en.wikipedia.org/wiki/Coup_%28card_game%29,https://en.wikipedia.org/wiki/Coup_%28card_game%29
Among Us (Innersloth),4–15,2,8–20 minutes,Online real-time impostor game: crewmates do tasks while impostors sabotage and kill; meetings enable discussion and voting.,,
Town of Salem,7–15,3,10–40 minutes,Role-heavy online Mafia-style game with many roles and complex night/day interactions driving deception and deduction.,,
Project Winter,5–8,4,20–40 minutes,Survival-focused social deduction: traitors sabotage cooperative objectives while environmental threats and distrust complicate escape.,https://store.steampowered.com/app/774861/Project_Winter/,https://store.steampowered.com/app/774861/Project_Winter/
Deceit / Deceit 2,6–12,3,10–25 minutes,Horror FPS social deduction where infected players secretly eliminate innocents while completing objectives; action-oriented deception.,,
Goose Goose Duck,Up to 16,3,10–25 minutes,"Among Us–style online impostor game with many roles, proximity chat, and larger lobbies for varied social-deduction modes.",,
Betrayal.io,6–12,2,6–15 minutes,Browser-based impostor-style game offering quick matches with role abilities and automated night/day cycles.,,
SpyParty,1v1 (2 players),5,≈3 minutes per round,"High-skill asymmetric espionage duel: one player blends among NPCs while the other must detect suspicious, goal-directed behavior.",,
Unfortunate Spacemen,Up to 16,3,15–45 minutes,Space-themed social deduction with shapeshifters/traitors and objective-based escape; mixes action with paranoia and deduction.,https://store.steampowered.com/app/408900/Unfortunate_Spacemen/,https://store.steampowered.com/app/408900/Unfortunate_Spacemen/
Triple Agent!,5–7 (base),2,≈10 minutes,"Phone/tablet-driven party social deduction with hidden loyalties and short, fast rounds emphasizing quick deception.",,
Mafia Blitz,6–12,3,≈15 minutes,Fast bluffing social deduction with role-drafting and single-round play that minimizes elimination and speeds sessions.,,
Wolvesville / Werewolf Online,Typically 7–16,2,10–30 minutes,"Mobile/online adaptations of Werewolf/Mafia offering automated moderation, matchmaking, and casual social-deduction play.",,
