name,description,website,email,link
OrionStar Robotics,"Beijing-based robotics company building AI-powered service, logistics, and autonomous driving robots for retail and warehouse applications.",,,https://be.linkedin.com/company/orionstar
Clevon,Developer and manufacturer of lightweight autonomous delivery robots and ADS/teleoperation systems for last-mile logistics.,,,https://ee.linkedin.com/company/clevon
DF Automation & Robotics,"Malaysian firm designing, manufacturing and maintaining Autonomous Mobile Robots (AMRs) and AGVs for industrial and commercial use.",,,https://mr.linkedin.com/company/dfautomation
Starship Technologies,Developer and operator of small autonomous sidewalk delivery robots for last-mile food and package delivery.,https://www.starship.xyz/,help@starship.xyz,https://ee.linkedin.com/company/starshiptechnologies
Robonnement,Robotics-as-a-service startup offering monthly robot subscriptions for manufacturing automation and flexible deployments.,,,https://www.linkedin.com/company/robonnement
Doosan Robotics,Producer of collaborative robots (cobots) and robotic solutions for manufacturing and industrial automation.,,,https://si.linkedin.com/company/doosan-robotics
All3,Construction robotics and software company developing automation solutions for building and on-site tasks.,,,https://rs.linkedin.com/company/all3
MetraLabs GmbH,German mobile robotics company specializing in autonomous mobile robots and interactive service robots for industry and research.,,,https://ga.linkedin.com/company/metralabs
dConstruct Robotics,"Singapore-based startup focused on autonomy, sensors, vision/ML and AMR/humanoid robotics development.",,,https://sg.linkedin.com/company/dconstruct
IADYS,"Developer of marine and environmental robots (e.g., Jellyfishbot) for water preservation and oil-spill response.",,,https://au.linkedin.com/company/iadys/
ANYbotics,Swiss company building quadrupedal ANYmal robots for autonomous industrial inspection and remote operations.,https://www.anybotics.com,info@anybotics.com,https://ca.linkedin.com/company/anybotics
Naïo Technologies,"French agricultural robotics company producing electric autonomous robots for tasks like weeding, sowing and hoeing.",,,https://it.linkedin.com/company/na-o-technologies
Autonomous Pivot,"Converts center-pivot irrigation systems into autonomous platforms for irrigation, fertigation and automated crop protection.",http://www.autonomouspivot.com,,www.autonomouspivot.com
Agora Robotics,"Builders of an autonomous service-robotics ecosystem for cleaning, intralogistics, inventory scanning and digital-twin applications.",http://www.agorarobotics.com,info@agorarobotics.com,www.agorarobotics.com
Darkhive,Provider of open autonomous robotics systems targeted at defense and public-safety applications.,https://darkhive.ai,,darkhive.ai
LexxPluss,Supplier of hybrid autonomous mobile robots and system integration services for industrial and logistics automation.,https://www.lexxpluss.com,,www.lexxpluss.com
PhiGent Robotics,Company offering autonomous driving solutions and 3D/AI perception technologies for autonomous vehicles and robots.,https://www.phigent.ai,,www.phigent.ai
Renu Robotics,Develops autonomous electric vehicles with mission-control monitoring under a software subscription model.,https://renurobotics.com,,renurobotics.com
FERNRIDE,"Autonomous trucking platform focused on electric, autonomous yard and regional trucking solutions.",https://www.fernride.com,,www.fernride.com
Carbon Robotics,"Develops autonomous field robots for agriculture, including autonomous weed-management systems.",,,https://www.crunchbase.com/funding_round/maka-autonomous-robots-series-a--063404db
AeroVect,Builds airport automation systems using embodied AI to manage airfield baggage and cargo logistics.,https://aerovect.com,,aerovect.com
Indoor Robotics,Developer of fully autonomous indoor drone fleets and AI solutions for security and monitoring in smart buildings.,https://www.indoor-robotics.com,,www.indoor-robotics.com
Ulysses Ecosystem Engineering,Uses autonomous robots to plant seagrass seeds on the ocean floor for large-scale marine habitat restoration.,,,
Gitai,Japanese space-robotics company developing autonomous robotic arms and systems for in-orbit servicing and ISS demonstrations.,,,https://techcrunch.com/2024/03/19/gitais-autonomous-robot-installs-panel-outside-the-iss-showing-orbital-repairs-in-action/
Brain Corp.,Develops BrainOS navigation platform and autonomous systems for in-store and warehouse delivery and robotics applications.,,,https://techcrunch.com/2019/04/02/brain-corp-debuts-an-autonomous-delivery-robot-for-factories-and-retail/
Serve Robotics,Spun out from Postmates; operates sidewalk delivery robot fleets for food and last-mile logistics with enterprise partners.,https://www.serverobotics.com/,contactserve@serverobotics.com; partners@serverobotics.com; press@serverobotics.com,https://www.serverobotics.com/
Cartken,"Builds autonomous delivery and indoor/outdoor AMRs for campuses, manufacturing sites and last-mile logistics.",https://www.cartken.com/,press@cartken.com,https://www.cartken.com/
Coco Robotics,Manufacturer and operator of the Coco sidewalk delivery vehicle used in urban food-delivery pilots and integrations.,https://www.cocodelivery.com/,,https://www.cocodelivery.com/
Avride,"Autonomous-vehicle and delivery-robot startup spun out of Yandex's self-driving group, operating sidewalk robots and supervised autonomy.",https://www.avride.ai/,contact@avride.ai,https://www.avride.ai/
Built Robotics,Produces autonomy retrofit kits and software that convert heavy construction equipment into fully autonomous machines.,https://www.builtrobotics.com/,info@builtrobotics.com,https://www.builtrobotics.com/
Agility Robotics,"Humanoid robotics company creating Digit and bipedal robotic solutions for warehousing, logistics and automation.",https://www.agilityrobotics.com/,ar-legal@agilityrobotics.com,https://www.agilityrobotics.com/
Clearpath Robotics (OTTO Motors),"Manufacturer of research UGVs and industrial autonomous vehicles, including the OTTO Motors fleet for material handling.",https://clearpathrobotics.com/,support@clearpathrobotics.com,https://clearpathrobotics.com/
Boost Robotics,YC-listed startup building autonomous mobile manipulation robots for remote manual tasks and industrial applications.,https://www.ycombinator.com/companies/boost-robotics,,https://www.ycombinator.com/companies/boost-robotics
Skydio,"US autonomous drone company producing AI-first drones for inspection, public safety and enterprise BVLOS operations.",https://www.skydio.com,help@skydio.com; press@skydio.com,https://www.skydio.com/
Locus Robotics,Warehouse-focused AMR provider offering collaborative pick-assist robots and an orchestration platform (RaaS and CapEx models).,https://locusrobotics.com/,,https://locusrobotics.com/
Mobile Industrial Robots (MiR),"Denmark-based AMR maker supplying flexible modular robots for internal transport, pallet handling and fleet management.",https://mobile-industrial-robots.com/,[email protected],https://mobile-industrial-robots.com/
Geek+,"Global AMR and intralogistics company offering tote-to-person, shelf-to-person and sorting systems for warehouses.",https://www.geekplus.com/en/,sales@geekplus.com,https://www.geekplus.com/en/
inVia Robotics,"Warehouse automation company offering goods-to-person AMRs, orchestration software and Robotics-as-a-Service for fulfillment centers.",https://inviarobotics.com/,info@inviarobotics.com,https://inviarobotics.com/
Brightpick,AI-powered warehouse robotics company offering multi-purpose mobile manipulators and RaaS for order picking and replenishment.,https://brightpick.ai/,,https://brightpick.ai/
AGILOX,"Austrian AMR maker delivering omnidirectional robots and X-SWARM fleet technology for pallet, box and conveyor interactions.",https://www.agilox.net/,,https://www.agilox.net/
Fetch Robotics,Developer of cloud-connected AMRs for material handling and pick-assist workflows (now part of broader automation portfolios).,https://fetchrobotics.com/,,https://fetchrobotics.com/
Vecna Robotics,"Provider of automated material handling solutions including autonomous pallet trucks, forklifts and tote retrieval AMRs.",https://vecnarobotics.com/,,https://vecnarobotics.com/
6 River Systems,Provider of collaborative goods-to-person AMRs (Chuck) and fulfillment software for warehouse operations.,https://www.6river.com/,,https://www.6river.com/
Percepto,Autonomous drone-in-a-box provider with AIM platform for automated industrial inspections and continuous monitoring.,https://percepto.co,info@percepto.co,https://percepto.co
Taurob GmbH,Austrian company making ATEX-certified autonomous mobile inspection robots for oil & gas and hazardous industrial sites.,https://www.taurob.com,office@taurob.com,https://www.taurob.com
Flyability,Swiss firm building collision-tolerant drones (Elios) for confined-space and hazardous-environment inspections.,https://www.flyability.com,info@flyability.com,https://www.flyability.com
Robotnik Automation S.L.L.,"Spanish developer of autonomous mobile robots and mobile manipulators for inspection, logistics and agricultural applications.",https://robotnik.eu,info@robotnik.es,https://robotnik.eu
Inspector Bots,"US maker of rugged, portable inspection robots (Minibot, Trackbot, PTM) for crawlspaces, under-vehicle and confined inspections.",https://www.inspectorbots.com,info@inspectorbots.com,https://www.inspectorbots.com
BDX Robotics,"Provider of robotic roof and building inspection systems combining scanning, mapping and AI analytics for commercial inspections.",https://www.bdx-robotics.com,info@bdx-robotics.com,https://www.bdx-robotics.com
"FarmWise Labs, Inc.",Ag-tech robotics firm building autonomous weeding and precision-cultivation machines and offering Robot-as-a-Service.,https://farmwiselabs.com/,contact@farmwiselabs.com,https://farmwiselabs.com/
"FarmBot, Inc.",Open-source precision agriculture CNC farming project and company providing FarmBot hardware kits and automation software.,https://farm.bot/,contact@farm.bot,https://farm.bot/
Bonsai Robotics,Ag-tech startup building vision-based autonomy (VisionSteer) for orchard equipment and off-road farm vehicles.,https://www.bonsairobotics.ai/,info@bonsairobotics.ai,https://www.bonsairobotics.ai/
Agrobot,Spanish ag-robotics company developing robotic harvesters and precision-ag machinery for soft fruit and specialty crops.,https://www.agrobot.com/,,https://www.agrobot.com/
Traptic,Developer of strawberry-picking robots and computer-vision harvesting systems for specialty-crop automation.,https://www.traptic.com/,jobs@traptic.com,https://www.traptic.com/
Tortuga AgTech,Denver-based ag-tech company focused on robotic harvesting and automation for soft produce with RaaS offerings.,https://tortugaagtech.com/,info@tortugaagtech.com,https://tortugaagtech.com/
Octinion,Belgian R&D company developing mechatronic solutions and the Rubion strawberry-picking robot and horticulture platforms.,https://octinion.com/,info@octinion.com,https://octinion.com/
Harvest CROO Robotics,Developer of autonomous strawberry pickers and pick-to-pack harvesting solutions for growers.,https://www.harvestcroorobotics.com/,info@harvestcroo.com,https://www.harvestcroorobotics.com/
Small Robot Company,UK agritech developer of per-plant robots for precision farming (company reported to have entered liquidation in 2024).,http://www.smallrobotcompany.com/,info@smallrobotcompany.com,http://www.smallrobotcompany.com/
Solinftec,Brazilian ag-tech provider of farm management systems and autonomous field robotics for large-scale crop operations.,https://www.solinftec.com/,,https://www.solinftec.com/
