name,description,size,website,email,link
Proprio,"Seattle-based med-tech company building Paradigm, a light-field computer-vision surgical navigation platform providing real-time 3D views for surgeons.",,https://www.propriovision.com,contact@propriovision.com,https://www.propriovision.com
Glidance,"Seattle startup developing Glide, an AI-enabled self-guided mobility aid for people who are blind, with autonomous steering, obstacle avoidance, and haptic/audio feedback.",4,https://glidance.io,gliders@glidance.io,https://glidance.io
Cadence Biomedical,"Seattle medical device company making the Kickstart Walking System, an exotendon-based wearable for neurorehabilitation after stroke or spinal cord injury.",,https://www.cadencebiomedical.com,info@cadencebio.com,https://www.cadencebiomedical.com
AIVOT,"Seattle robotics software company building a no-code, lifelong-learning AI agent for robots, enabling vision and spoken-instruction capabilities across hardware platforms.",1-10,https://aivot.com,hello@aivot.com,https://aivot.com
Embotic Technology,UW lab spinout developing a biomimetic robotic hand using 3D-printed bone-like structures and tendon-like mechanisms for medical and educational uses.,,,,https://cnt.cs.washington.edu/industry/industry-members/
Collaborative Robotics (Cobot),"Developer of Proxie, a mobile-manipulator AMR for logistics, manufacturing and healthcare; opened a Seattle office in 2024.",51-200,https://co.bot/,,co.bot/
Hoaloha Robotics,"Seattle-based company building an autonomously mobile, socially interactive companion robot focused on assistive care for seniors and people with disabilities.",11-50,https://www.hoaloharobotics.com/,info@hoaloharobotics.com,https://www.hoaloharobotics.com/
WiBotic,"Seattle developer of wireless charging hardware and fleet energy-management software for aerial, mobile and marine robots to enable autonomous charging.",11-50,https://www.wibotic.com/,,https://www.wibotic.com/
"AeroGo, Inc.","Tukwila/Seattle manufacturer of load-moving systems and custom AGV solutions, using air-caster based equipment for heavy-load material handling.",50-350,https://www.aerogo.com/,,https://www.aerogo.com/
Automated Solutions LLC,Seattle-based consulting and integration firm focused on warehouse automation and AMR systems design.,1-10,https://botconsults.com/,,https://botconsults.com/
Cedar Robotics,"Seattle startup using robotics, cloud infrastructure and menu digitization to automate restaurant operations and service workflows.",1-10,http://cedarrobots.com,,http://cedarrobots.com
Paradigm Sift,"Seattle-based technology company listed in Crunchbase under AI and robotics categories, focused on ML and data-driven solutions.",,,,https://www.crunchbase.com/organization/paradigm-sift
WiBotic,"Seattle-based provider of wireless power and battery-intelligence solutions for mobile, aerial and aquatic robots to enable autonomous charging.",≈35 employees (est.),https://www.wibotic.com,info@wibotic.com,https://www.wibotic.com/
Robodub,Seattle-based UAV maker building high-performance multirotor drones with adaptive airframe technology for commercial and government payload applications.,small,https://robodub.com,info@robodub.com,https://robodub.com
MicaSense,Originally Seattle-based developer of multispectral and thermal sensors for drones and aerial mapping; acquired by AgEagle in 2021.,acquired (tens),https://www.micasense.com,support@micasense.com,https://www.micasense.com
Ladon Robotics,"Seattle-based startup developing autonomous, wind- and solar-powered cargo ships—maritime robotics and autonomy for long-range cargo transport.",small,https://www.ladonrobotics.com,pierce@ladonrobotics.com,https://www.ladonrobotics.com
Data Blanket,"Bellevue startup building AI-driven autonomous drone systems and software for wildfire detection, mapping and tactical situational awareness.",11-50,https://www.datablanket.com,info@datablanket.com,https://www.datablanket.com
Clobotics,AI and robotics company with a Seattle/Bellevue presence offering autonomous drone-based inspections and computer-vision analytics for infrastructure.,~80-100,https://clobotics.com,info@clobotics.com,https://clobotics.com
Olis Robotics,"Provides cloud-based remote monitoring, diagnostics and remote-control systems for industrial robots to reduce downtime and enable secure remote access.",11,https://olisrobotics.com/,info@olisrobotics.com,https://olisrobotics.com/
Carbon Robotics,Seattle-based developer of autonomous agricultural robots (LaserWeeder) using AI and lasers for precision weed control and farm automation.,51-200,https://www.carbonrobotics.com,rosana@carbon.ai,https://carbonrobotics.com
Proprio (Proprio Vision),"Seattle surgical-technology company building AI, computer-vision and robotics systems to augment intraoperative visualization and navigation (Paradigm).",51-200,https://www.propriovision.com,contact@propriovision.com,https://www.propriovision.com
BRINC Drones,Seattle-headquartered public-safety drone company providing tactical indoor/outdoor drones and Drone-as-First-Responder hardware and services.,51-200,https://brincdrones.com,blake@brincdrones.com,https://brincdrones.com/
DroneSeed,"Uses heavy-lift drone fleets for large-scale reforestation, seeding, spraying and vegetation management as a reforestation-as-a-service provider.",95 employees,https://www.droneseed.co/,,https://www.droneseed.co/
Sewbo,"Industrial-automation startup that temporarily stiffens fabric so off-the-shelf industrial robots can sew garments, enabling apparel automation.",1-10,https://www.sewbo.com,inquiries@sewbo.com,https://www.sewbo.com/
Emergent Machines (OCCO),"Creator of OCCO, an autonomous photographer robot for events and venues; offers rentals, cloud media storage and analytics.",Small,https://occo.io/,,https://occo.io/
Artly (Artly Robot Coffee),"Consumer-facing robotics company deploying robotic baristas and Barista Bot systems in cafes, including locations in Seattle.",Small,https://artly.coffee/,support@bluehill.coffee,https://artly.coffee/
Numurus,Provides an Edge-AI operating system and turnkey edge compute solutions to accelerate industrial AI and robotic applications.,12 employees,https://numurus.com/,[email protected],https://numurus.com/
Lumotive,"Optical-semiconductor company developing software-defined Meta-Lidar for robotics, automotive and industrial sensing applications.",31 employees,https://lumotive.com/,,https://lumotive.com/
Orchard Robotics,"Builds AI-powered camera hardware and Orchard OS for precision agriculture: fruit counting, per-tree analytics and farm-scale automation.",5-21,https://www.orchard-robotics.com,hello@orchard-robotics.com,https://www.orchard-robotics.com/
Robodub Inc.,Develops adaptive/morphing multirotor drone technology focused on in-flight rotor reconfiguration for improved load balancing and logistics.,1-12,https://www.robodub.com,info@robodub.com,https://www.robodub.com
Picnic Works,Seattle-based foodservice automation company building robotic pizza assembly and kitchen automation stations.,SMB,https://picnicworks.com,,https://picnicworks.com
Artly Coffee,Seattle robotics startup creating robot baristas and automated coffee systems for mall and office deployments.,Small (≈20–30),https://artly.coffee,support@bluehill.coffee,https://artly.coffee
Starfish Space,Seattle-area space robotics company developing small spacecraft and on-orbit servicing technologies.,Small–Medium (startup),https://www.starfishspace.com,,https://www.starfishspace.com
AIVOT,Seattle AI-robotics startup building no-code task-learning robots to automate routine tasks.,1–50,https://www.crunchbase.com/organization/aivot,hello@aivot.com,https://aivot.com
Carbon Robotics,"Seattle-headquartered AgTech robotics company building the LaserWeeder, combining computer vision and lasers for precision weed control.",51–280 employees,https://carbonrobotics.com,media@carbonrobotics.com,https://carbonrobotics.com
DroneSeed,"Uses drone fleets for reforestation, vegetation management, and targeted forestry services.",95 employees,https://droneseed.com,,https://www.droneseed.co/
Orchard Robotics,Builds hardware-enabled software and robotic systems to automate farming operations and improve farm decision-making.,21 employees,https://www.orchard-robotics.com,contact@orchard-robotics.com,https://www.orchard-robotics.com/
Cedar Robotics,"Provides end-to-end robotics solutions for restaurants, improving order, delivery and payment workflows.",1-10,https://www.cedarrobots.com,,http://cedarrobots.com
Olis Robotics,"Video-based remote connectivity product to monitor, diagnose and control industrial robots and machinery from a web browser.",11 Total Employees,https://www.olisrobotics.com,info@olisrobotics.com,https://olisrobotics.com/
Robodub,"Hardware robotics company developing shape-changing drones to increase agility, safety and load balancing.",small (unknown exact headcount),https://robodub.com,info@robodub.com,https://robodub.com
Sewbo,Industrial automation for garment manufacturers using temporary fabric stiffening so robots can handle and sew flexible fabrics.,2 Total Employees (Built In listing),https://sewbo.com,inquiries@sewbo.com,https://www.sewbo.com/
Carbon Robotics,"Seattle agtech robotics maker of the LaserWeeder, an AI-powered laser weeding and tractor autonomy solution.",160 employees (reported),https://carbonrobotics.com,media@carbonrobotics.com,https://carbonrobotics.com
Overland AI,Developer of off-road autonomous ground vehicles and autonomy software (OverWatch C2) for military and defense customers.,51-100 employees (approx.),https://overland.ai,info@overland.ai,https://overland.ai
AIM Intelligent Machines (AIM),"Retrofits heavy earthmoving machinery (bulldozers, excavators) to operate autonomously for construction and infrastructure applications.",51-200 employees (approx.),https://aim.vision,,https://aim.vision
IUNU,"Provides AI and machine-vision (LUNA) for greenhouse operations, enabling autonomous imaging and plant-level insights.",11-50 employees (approx.),https://iunu.com,press@iunu.com,https://iunu.com
Picnic Works (Picnic),Food automation startup building the Picnic Pizza Station for robotic pizza assembly and commercial food automation.,11-50 employees (approx.),https://picnicworks.com,,https://picnicworks.com
iJet Technologies,Provides aircraft data-collection and monitoring solutions; listed with robotics among its industries and headquartered in Seattle.,11-50,http://www.ijettechnologies.com/,contact@ijettechnologies.com,http://www.ijettechnologies.com/
Fremont Robotics,"Seattle company providing AI-powered autonomous sensing, inspection, fleet management and mixed-fleet robotic deployments for large indoor and outdoor facilities.",11-50,https://www.fremont.ai/,,https://www.fremont.ai
Pike Robotics,"Developer of wall-crawling robots (Wall-Eye) for hazardous industrial and confined-space inspections, enabling in-service inspections in flammable environments.",,https://www.pikerobotics.com/,info@pikerobotics.com,https://www.pikerobotics.com/
Ballard Marine Construction (Robotics & Survey Division),"Seattle-area marine construction firm with a Robotics & Survey Division using ROVs, AUVs, imaging sonar and robotic inspection for underwater surveying and structural assessment.",,https://www.ballardmc.com/robotics-and-survey-division/,,https://www.ballardmc.com/robotics-and-survey-division/
Glacier,Startup deploying AI-powered pick-and-place recycling robots to automate sorting in Seattle-area material recovery facilities.,~35 employees (reported),,,https://www.geekwire.com/2025/recycling-gets-smarter-ai-powered-robots-from-amazon-backed-startup-are-sorting-waste-in-seattle/
EDM Intelligent Solutions,"Provides industrial 3D metrology, automated optical inspection and robotic metrology systems serving Seattle-area manufacturing and inspection needs.",,https://www.edmdept.com/3d-metrology-systems-seattle-wa/,,https://www.edmdept.com/3d-metrology-systems-seattle-wa/
WiBotic,Seattle-based developer of wireless charging and power-optimization systems for robots and drones; UW spinout.,11-50 (reported),https://www.wibotic.com/,,https://www.wibotic.com/
Overland AI,University of Washington spinout building off-road ground-vehicle autonomy (product: OverDrive) for rugged environments.,6-15 employees,https://overland.ai,info@overland.ai,https://overland.ai
Olis Robotics,"Developer of teleoperation, remote monitoring, and progressive-autonomy software for industrial, subsea, and space robotic manipulators.",~14 employees,https://olisrobotics.com,eric@s2spr.com,https://olisrobotics.com/
LEAP Photonics,"UW spinoff developing compact photonic-chip LiDAR 3D imaging systems for robotics, drones, and autonomous vehicles.",,,,https://comotion.uw.edu/blog/spinoff-news-roundup-june-2025/
Picnic,Seattle-headquartered food-automation company building automated pizza assembly stations.,20-50 employees,https://hellopicnic.com,,https://hellopicnic.com (company website shown on profiles)
Sewbo,Developer of industrial sewing automation that stiffens fabric for reliable robot handling.,1-10 employees,https://sewbo.com,info@sewbo.com,https://www.sewbo.com/
Hoaloha Robotics,Seattle-based developer of social/companion robots aimed at assisting seniors and people with disabilities.,11-50 employees,https://hoaloharobotics.com,info@hoaloharobotics.com,https://www.hoaloharobotics.com/
Blue Robotics,"Manufacturer of affordable marine-robotics components and small ROV/AUV platforms (BlueROV2, thrusters, housings, sensors).",,https://bluerobotics.com,info@bluerobotics.com,https://bluerobotics.com
Teledyne BlueView,"Seattle-area developer of compact multibeam and imaging sonar systems for AUVs, ROVs and vessels; acquired by Teledyne.",<14,http://www.blueview.com,info@blueview.com,http://www.blueview.com
Sound Metrics,"Bellevue-based designer and manufacturer of imaging sonars for vessels, ROVs and AUVs, originating from UW Applied Physics Lab research.",Est. 10–50 employees,https://soundmetrics.com,,https://soundmetrics.com
Newton Labs,"Renton-area manufacturer of machine vision, robotics, laser scanning and optical automation, including subsea/marine product offerings.",,https://www.newtonlabs.com,sales@newtonlabs.com,https://www.newtonlabs.com
Overland AI,Seattle-based autonomy company developing ground-vehicle autonomy and integrated manufacturing/testing for crewed and uncrewed vehicles (defense-focused).,51-100 employees (approx.),https://www.overland.ai/,info@overland.ai,https://overland.ai
Orchard Robotics,Agtech startup (has a Seattle office) mounting cameras on tractors and using AI to generate crop-level analytics for orchards and vineyards.,21 employees,https://orchard-robotics.com,contact@orchard-robotics.com,https://www.orchard-robotics.com/
iUNU,"Seattle agtech startup building LUNA, an autonomous rail-mounted imaging/robotics system plus AI for greenhouse monitoring and plant-level insights.",51,https://iunu.com,press@iunu.com,https://iunu.com
Aigen,"Redmond/Seattle-region agtech robotics company building AI-driven, solar-powered robotic fleets for chemical-free farming solutions.",11-50,https://aigen.io,media@aigen.io,https://aigen.io/
Orchard.ai,"Precision agriculture startup building vision systems and FruitScope OS for automated fruit detection, yield estimation, and farm-scale robotic imaging.",approx. 20-30 employees,https://www.orchard.ai/,,https://www.orchard.ai/
Roboto AI,"Provides a platform to search, transform, and analyze multimodal robotics logs and sensor data for robot development and debugging.",approx. 11-50 employees,https://www.roboto.ai/,info@roboto.ai,https://www.roboto.ai/
CogniSea,"Develops depth-perception sensors (dToF LiDAR / SPAD) and 3D computer vision hardware for robotics, mapping, and perception applications.",early-stage (approx. 1-10 employees),https://cognisea.com/,contact via website (no public email listed),https://cognisea.com/
Autev,Builds autonomous mobile EV-charging robots and mobile energy storage solutions for parking and fleet charging operations.,small startup (approx. 1-50 employees),https://www.autev.com/,info@autev.com,http://autev.com
Packabby Robotics,Early-stage startup developing portable companion robots and consumer-facing robot companions.,very early-stage (approx. 2-5 employees),https://www.f6s.com/company/packabby-robotics,contact via F6S/profile (no public email),https://www.f6s.com/company/packabby-robotics
Knot Robotics,Early-stage robotics company focused on robotic systems for hair braiding and personal-care automation.,"very early-stage (small founding team, approx. 1-10 employees)",https://www.f6s.com/company/knot-robotics,contact via site / F6S (no public email listed),https://www.f6s.com/company/knot-robotics
