name,description,size,website,email,city,state,link
Fetch Robotics,Cloud-driven autonomous mobile robots (AMRs) for warehouse and intralogistics automation.,51-100,https://fetchrobotics.com,info@fetchrobotics.com,San Jose,California,fetchrobotics.com
Locus Robotics,Manufacturer of autonomous mobile robots for e-commerce warehouse picking and fulfillment.,251-500,https://locusrobotics.com,,Wilmington,Massachusetts,locusrobotics.com
Brightpick,AI-powered autonomous order-picking robots (Autopicker) for warehouse automation.,200+,https://brightpick.ai,,Cincinnati,Ohio,https://brightpick.ai
"RE2, Inc.",Developer of autonomous and teleoperated mobile robots and manipulation systems for inspection and hazardous environments.,mid-size,https://www.re2.com/,,Pittsburgh,Pennsylvania,https://www.re2.com/
Ati Motors,"AI-driven industrial AMRs, tugs, and pallet movers for material handling and intralogistics.",,https://atimotors.ai,,San Francisco,California,https://atimotors.ai
Bluepath Robotics,Develops autonomous mobile robots (AMRs) for material handling; operates a U.S. office in Detroit to expand Americas operations.,51-200,,,Detroit,Michigan,https://www.linkedin.com/company/bluepathrobotics/
Quicktron Robotics,"Global provider of mobile robots and automation solutions; established a U.S. office and testing facility in Grapevine, Texas.",,http://www.quicktron.com,info@quicktron.com,Grapevine,Texas,http://www.quicktron.com
Bonsai Robotics,Builds modular autonomous field robots and autonomy platforms for agricultural applications.,"Series A-stage / small (public reporting indicates Series A, headcount not large)",https://bonsairobotics.ai,,San Jose,California,https://www.bonsairobotics.ai
"Starship Technologies, Inc.","Develops and operates small sidewalk autonomous delivery robots for food, groceries and last-mile deliveries in multiple U.S. cities and campuses.",201-500,https://www.starship.xyz,,San Francisco,California,https://www.starship.xyz
"Serve Robotics, Inc.",Builds and operates sidewalk delivery robots and partners with delivery platforms for scalable last-mile robotic delivery services.,201-500,https://www.serverobotics.com,,Redwood City,California,https://www.serverobotics.com
Agility Robotics,"Manufacturer of bipedal humanoid robot Digit, used for logistics and warehouse automation with exploratory last-mile applications.",201-500,https://www.agilityrobotics.com,,Salem,Oregon,https://www.agilityrobotics.com
Seegrid,Manufacturer of autonomous mobile robots and fleet software for material handling and industrial logistics applications.,201-500,https://seegrid.com,sales@seegrid.com,Pittsburgh,Pennsylvania,https://seegrid.com
6 River Systems,Provides collaborative autonomous mobile robots (Chuck) and fulfillment automation solutions for warehouse operations.,51-200,https://www.6river.com,,Waltham,Massachusetts,https://www.6river.com
Cobalt AI,Deploys indoor security robots with a human-in-the-loop monitoring and operations platform for facility security and patrols.,51-200,https://www.cobaltai.com,sales@cobaltrobotics.com,San Francisco,California,https://www.cobaltai.com
Vecna Robotics,"Supplies autonomous mobile robots and orchestration software for warehouse, material handling, and intralogistics automation.",51-200,https://vecnarobotics.com,team@vecnarobotics.com,Waltham,Massachusetts,https://vecnarobotics.com
inVia Robotics,Provides AMR-based goods-to-person picking systems and Robotics-as-a-Service for e-commerce and warehouse fulfillment.,51-200,https://inviarobotics.com,[email protected],Westlake Village,California,https://inviarobotics.com
Onward Robotics,Develops autonomous mobile robots and goods-to-person picking automation solutions for warehouse and distribution centers.,51-200,https://onwardrobotics.com,media@onwardrobotics.com,Pittsburgh,Pennsylvania,https://onwardrobotics.com
Brain Corp,Develops BrainOS autonomy software and AI-powered autonomous mobile robots (AMRs) for commercial cleaning and facility robots.,,https://www.braincorp.com,privacy@braincorp.com,San Diego,California,https://www.braincorp.com
Kiwi Campus (Kiwibot),Operator and manufacturer of small sidewalk delivery robots used for food and grocery last-mile delivery on college campuses and pilots.,51-200,https://www.kiwibot.com,help@kiwicampus.com,Berkeley,California,https://www.kiwibot.com
Sarcos Technology and Robotics Corporation,Developer and manufacturer of mobile industrial robotic systems (Guardian series) for remote inspection and dexterous handling in hazardous or confined environments.,201-500 employees (public filings / business listings),https://www.sarcos.com,sales@sarcos.com,Salt Lake City,Utah,https://www.sarcos.com
RedZone Robotics,Provides autonomous pipeline and sewer inspection robots (SOLO crawler) with 360° imaging and automated traversal for small-diameter pipe inspection.,51-200 employees (company listings),https://redzone.com,fixit@redzone.com,Warrendale,Pennsylvania,https://redzone.com
Gecko Robotics,Makes wall-climbing and mobile inspection robots plus analytics/software for nondestructive testing of industrial assets like boilers and tanks.,101-350 employees (company disclosures / press),https://www.geckorobotics.com,info@geckorobotics.com,Pittsburgh,Pennsylvania,https://www.geckorobotics.com
